127.0.0.1 - - [26/Apr/2023:03:53:12 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Apr/2023:03:53:14 +0900] "GET /comm/ HTTP/1.1" 200 7943
0:0:0:0:0:0:0:1 - - [26/Apr/2023:03:53:14 +0900] "GET /comm/resources/js/main.js HTTP/1.1" 200 7429
0:0:0:0:0:0:0:1 - - [26/Apr/2023:03:53:14 +0900] "GET /comm/resources/css/main-style.css HTTP/1.1" 200 6412
0:0:0:0:0:0:0:1 - - [26/Apr/2023:03:53:14 +0900] "GET /comm/resources/images/logo.jpg HTTP/1.1" 200 12708
0:0:0:0:0:0:0:1 - - [26/Apr/2023:03:53:14 +0900] "GET /comm/member/selectAll HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Apr/2023:03:53:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Apr/2023:03:53:24 +0900] "GET /comm/member/selectAll HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Apr/2023:03:53:27 +0900] "POST /comm/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Apr/2023:03:53:27 +0900] "GET /comm/ HTTP/1.1" 200 7943
0:0:0:0:0:0:0:1 - - [26/Apr/2023:03:53:27 +0900] "GET /comm/member/selectAll HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Apr/2023:03:53:37 +0900] "GET /comm/member/selectAll HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Apr/2023:03:53:47 +0900] "GET /comm/member/selectAll HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Apr/2023:03:53:57 +0900] "GET /comm/member/selectAll HTTP/1.1" 404 721
