127.0.0.1 - - [04/May/2023:02:25:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:23 +0900] "GET /comm/ HTTP/1.1" 200 7754
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:23 +0900] "GET /comm/resources/css/main-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:23 +0900] "GET /comm/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:23 +0900] "GET /comm/resources/images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:23 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:27 +0900] "POST /comm/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:27 +0900] "GET /comm/ HTTP/1.1" 200 6381
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:27 +0900] "GET /comm/resources/images/memberProfile20230501103319_08330.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:32 +0900] "GET /comm/board/list/1 HTTP/1.1" 200 7766
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:32 +0900] "GET /comm/resources/css/boardList-style.css HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:32 +0900] "GET /comm/resources/images/board/sample1.jpg HTTP/1.1" 200 283580
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:32 +0900] "GET /comm/resources/js/board/board.js HTTP/1.1" 200 6225
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:32 +0900] "GET /comm/resources/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:34 +0900] "GET /comm/board/detail/1/501?cp=1 HTTP/1.1" 200 8976
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:34 +0900] "GET /comm/resources/css/boardDetail-style.css HTTP/1.1" 200 2174
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:34 +0900] "GET /comm/resources/css/reply-style.css HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:34 +0900] "GET /comm/resources/js/board/reply.js HTTP/1.1" 200 12106
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:34 +0900] "GET /comm/resources/images/board/sample2.jpg HTTP/1.1" 200 166577
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:34 +0900] "GET /comm/resources/images/board/sample3.jpg HTTP/1.1" 200 193510
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:34 +0900] "GET /comm/resources/images/board/sample5.jpg HTTP/1.1" 200 186751
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:34 +0900] "GET /comm/resources/images/board/sample4.jpg HTTP/1.1" 200 119049
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:38 +0900] "GET /comm/board/list/2 HTTP/1.1" 200 6638
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:39 +0900] "GET /comm/board/list/3 HTTP/1.1" 200 16816
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:41 +0900] "GET /comm/board/detail/3/500?cp=1 HTTP/1.1" 200 6296
0:0:0:0:0:0:0:1 - - [04/May/2023:02:25:44 +0900] "GET /comm/board/list/3 HTTP/1.1" 200 16816
